City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,chonchi,-42.6128,-73.8092,3.4,95,15,0.98,CL,1686614945
165,hohhot,40.8106,111.6522,18.84,28,0,1.9,CN,1686614946
166,mamadysh,55.7152,51.408,7.6,75,18,2.36,RU,1686614946
167,camiri,-20.05,-63.5167,8.77,42,100,2.86,BO,1686614946
168,fale old settlement,-9.3852,-171.2468,28.6,76,30,6.58,TK,1686614947
169,hamilton,39.1834,-84.5333,19.22,61,75,7.72,US,1686614884
170,buinsk,54.95,48.2833,7.48,87,35,3.48,RU,1686614947
171,upington,-28.4478,21.2561,6.52,66,1,3.48,ZA,1686614947
172,iuna,-20.3458,-41.5358,21.04,67,74,0.67,BR,1686614948
173,stanley,54.868,-1.6985,12.51,92,67,1.03,GB,1686614948
174,malanje,-9.5402,16.341,17.24,86,18,1.54,AO,1686614948
175,roma,43.2128,-75.4557,19.65,87,100,2.24,US,1686614949
176,ghat,24.9647,10.1728,31.17,16,4,1.47,LY,1686614949
177,esquel,-42.9,-71.3167,-0.74,83,26,1.66,AR,1686614709
178,hithadhoo,-0.6,73.0833,28.61,71,77,3.92,MV,1686614895
179,tura,25.5198,90.2201,23.52,95,9,1.81,IN,1686614950
180,kone,-21.0595,164.8658,25.93,46,3,1.63,NC,1686614950
181,puerto madero,14.7208,-92.4215,31.11,89,75,0.0,MX,1686614950
182,wailua homesteads,22.0669,-159.378,28.24,78,40,5.14,US,1686614950
183,haiku-pauwela,20.9219,-156.3051,30.01,48,40,9.77,US,1686614951
184,hit,33.6416,42.8251,30.85,23,18,3.97,IQ,1686614951
185,badger,64.8,-147.5333,17.78,37,75,5.66,US,1686614910
186,luena,-11.7833,19.9167,13.45,50,9,1.41,AO,1686614951
187,santiago de cao,-7.9589,-79.2392,22.07,83,6,6.17,PE,1686614952
188,turpan,42.9333,89.1667,33.3,17,85,0.55,CN,1686614952
189,vorgashor,67.5833,63.95,4.56,60,97,4.26,RU,1686614889
190,dabat,12.9842,37.765,13.59,76,100,0.48,ET,1686614952
191,bishnah,32.6167,74.8667,28.6,41,0,1.81,IN,1686614953
192,hillsboro,45.5229,-122.9898,33.31,37,0,5.66,US,1686614696
193,usinsk,65.9939,57.5281,6.03,89,100,7.38,RU,1686614954
194,namibe,-15.1961,12.1522,16.53,77,3,2.08,AO,1686614954
195,college,64.8569,-147.8028,17.83,38,75,5.66,US,1686614893
196,east london,-33.0153,27.9116,13.85,70,81,4.88,ZA,1686614955
197,georgetown,5.4112,100.3354,28.96,74,20,3.09,MY,1686614892
198,ta`u,-14.2336,-169.5144,27.92,71,55,7.52,AS,1686614955
199,revda,56.801,59.9303,2.14,80,2,1.23,RU,1686614956
200,ghadamis,30.1337,9.5007,29.63,23,0,5.93,LY,1686614956
201,tolanaro,-25.0319,46.9987,18.53,93,23,2.89,MG,1686614956
202,tanjung pinang,0.9167,104.45,25.02,79,54,3.76,ID,1686614956
203,sona,45.4388,10.8255,19.77,83,75,2.06,IT,1686614957
204,fortuna,40.5982,-124.1573,16.63,85,0,7.2,US,1686614638
205,dali,25.7,100.1833,14.62,94,100,1.18,CN,1686614943
206,rongelap,11.1635,166.8941,27.8,80,56,7.87,MH,1686614957
207,cockburn town,21.4612,-71.1419,28.08,84,44,9.46,TC,1686614844
208,sandnessjoen,66.0217,12.6316,10.29,96,79,2.24,NO,1686614958
209,sept-iles,50.2001,-66.3821,16.16,72,47,0.69,CA,1686614958
210,moyo,3.6609,31.7247,18.2,87,85,1.04,UG,1686614959
211,kupang,-10.1667,123.5833,25.32,78,20,3.09,ID,1686614959
212,minas de marcona,-15.2119,-75.1103,12.42,85,48,8.34,PE,1686614960
213,tobelo,1.7284,128.0095,26.78,83,97,1.87,ID,1686614961
214,kapuskasing,49.4169,-82.4331,20.05,60,100,3.09,CA,1686614821
215,saipan,15.1355,145.701,30.39,100,40,6.17,MP,1686614761
216,bondo,3.8146,23.6866,20.39,99,58,0.72,CD,1686614961
217,west island,-12.1568,96.8225,26.99,83,75,9.31,CC,1686614962
218,thunder bay,48.4001,-89.3168,11.91,77,100,0.76,CA,1686614962
219,pitimbu,-7.4706,-34.8086,24.33,84,4,5.26,BR,1686614962
